Firm Name,City,State,Country,Category,Scale,Primary Typology,Design Orientation,BIM Usage,Internship Offered,Website,Contact Email,Application Method,Portfolio Emphasis Strategy
Morphogenesis,New Delhi,Delhi,India,Corporate,International,Institutional/Corporate/Urban,Sustainable+Technical,Yes,Yes,https://www.morphogenesis.org,careers@morphogenesis.org,Careers Page,Large institutional project + Environmental diagrams + BIM sheets
CP Kukreja Architects,New Delhi,Delhi,India,Corporate,International,Infrastructure/Airports/Institutional,Technical,Yes,Yes,https://www.cpkukreja.com,info@cpkukreja.com,Careers Page,Campus scale project + Technical documentation + Structured layout
AECOM,Delhi NCR,Delhi,India,Corporate,International,Infrastructure/Multi-disciplinary,Technical,Yes,Yes,https://www.aecom.com,india@aecom.com,Careers Page,Infrastructure scale project + BIM workflow + Technical sheets
Malik Architecture,Mumbai,Maharashtra,India,Corporate,Mid-Large,Corporate/Institutional,Technical,Partial,Yes,https://www.malikarchitecture.com,info@malikarchitecture.com,Email,Clean institutional project + Working drawings
Sanjay Puri Architects,Mumbai,Maharashtra,India,Boutique,Large,Residential/Institutional/Commercial,Concept-Driven,Partial,Yes,https://www.sanjaypuriarchitects.com,info@sanjaypuriarchitects.com,Email,Concept evolution diagrams + Bold sections
Sameep Padora & Associates,Mumbai,Maharashtra,India,Boutique,Mid,Cultural/Institutional,Research+Concept,Partial,Yes,https://www.sp-arc.net,info@sp-arc.net,Email,Material research sheets + Structural logic sections
Studio Lotus,New Delhi,Delhi,India,Boutique,Mid,Cultural/Hospitality,Contextual+Craft,Partial,Yes,https://www.studiolotus.in,info@studiolotus.in,Email,Material articulation + Detail sheets + Context diagrams
Architecture BRIO,Mumbai,Maharashtra,India,Boutique,Mid,Residential/Interiors,Contextual+Environmental,Partial,Yes,https://www.architecturebrio.com,info@architecturebrio.com,Email,Climate response diagrams + Section depth
Abin Design Studio,Kolkata,West Bengal,India,Boutique,Small,Public/Sculptural,Concept,No,Yes,https://www.abindesignstudio.com,info@abindesignstudio.com,Email,Sculptural massing + Form development diagrams
Rajiv Saini + Associates,Mumbai,Maharashtra,India,Interior,Mid,Hospitality/Interior,Interior-Focused,No,Yes,Not Public,info@rajivsaini.com,Email,Interior project first + Material boards + Detail drawings
Praxis,Bengaluru,Karnataka,India,Corporate,Mid,Corporate/Institutional,Technical,Partial,Yes,Not Public,info@praxisinc.in,Email,Institutional drawings + Documentation discipline
Mindspace Architects,Bengaluru,Karnataka,India,Corporate,Mid-Large,Institutional/Residential,Technical,Yes,Yes,Not Public,info@mindspacearchitects.com,Email,Technical sheets + BIM clarity
